train_params/lambda_sparsity,train/grad_norm,train_params/lambda_orient,train_params/lambda_opaque,train/loss_opaque,lr-Adam/geometry,step,train/max_step,train/loss_orient,epoch,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,train/loss_sds,train/min_step
1.0,43.28715133666992,16.336000442504883,0.0,0.1498209536075592,,32,980.0,0.022072356194257736,0,0.2854151129722595,,1.0,936.888671875,20.0
,,,,,0.01,33,,,,,0.001,,,
1.0,126.93460845947266,16.534000396728516,0.0,0.25222980976104736,,33,980.0,0.020773563534021378,0,0.3717789947986603,,1.0,8056.19775390625,20.0
,,,,,0.01,34,,,,,0.001,,,
1.0,30.770137786865234,16.73200035095215,0.0,0.27840298414230347,,34,980.0,0.018679115921258926,0,0.3771200478076935,,1.0,473.4006652832031,20.0
,,,,,0.01,35,,,,,0.001,,,
1.0,26.917516708374023,16.93000030517578,0.0,0.2610175907611847,,35,980.0,0.017461292445659637,0,0.350708544254303,,1.0,362.2763671875,20.0
,,,,,0.01,36,,,,,0.001,,,
1.0,506.5849914550781,17.128000259399414,0.0,0.25652921199798584,,36,980.0,0.01949186623096466,0,0.363545298576355,,1.0,128314.1796875,20.0
,,,,,0.01,37,,,,,0.001,,,
1.0,286.5215148925781,17.326000213623047,0.0,0.22133255004882812,,37,980.0,0.017077328637242317,0,0.3108944296836853,,1.0,41047.28515625,20.0
,,,,,0.01,38,,,,,0.001,,,
1.0,292.8905029296875,17.52400016784668,0.0,0.21145376563072205,,38,980.0,0.022102441638708115,0,0.35459303855895996,,1.0,42892.421875,20.0
,,,,,0.01,39,,,,,0.001,,,
1.0,21.345890045166016,17.722000122070312,0.0,0.1483840048313141,,39,980.0,0.017189601436257362,0,0.24070432782173157,,1.0,227.82351684570312,20.0
,,,,,0.01,40,,,,,0.001,,,
1.0,14.309781074523926,17.920000076293945,0.0,0.10507018119096756,,40,980.0,0.01727157272398472,0,0.19763991236686707,,1.0,102.38491821289062,20.0
,,,,,0.01,41,,,,,0.001,,,
1.0,252.86590576171875,18.118000030517578,0.0,0.23664450645446777,,41,980.0,0.02216390147805214,0,0.37386536598205566,,1.0,31970.58203125,20.0
,,,,,0.01,42,,,,,0.001,,,
1.0,33.945777893066406,18.31599998474121,0.0,0.24266767501831055,,42,980.0,0.017576223239302635,0,0.3361038565635681,,1.0,576.1578979492188,20.0
,,,,,0.01,43,,,,,0.001,,,
1.0,100.48933410644531,18.513999938964844,0.0,0.14324569702148438,,43,980.0,0.01676749996840954,0,0.23217922449111938,,1.0,5049.05322265625,20.0
,,,,,0.01,44,,,,,0.001,,,
1.0,138.16513061523438,18.711999893188477,0.0,0.17308937013149261,,44,980.0,0.017260031774640083,0,0.2662294805049896,,1.0,9544.80078125,20.0
,,,,,0.01,45,,,,,0.001,,,
1.0,236.38848876953125,18.90999984741211,0.0,0.1569536030292511,,45,980.0,0.016996782273054123,0,0.24546439945697784,,1.0,27939.759765625,20.0
,,,,,0.01,46,,,,,0.001,,,
1.0,11.9642333984375,19.107999801635742,0.0,0.17075800895690918,,46,980.0,0.02109338343143463,0,0.2873266935348511,,1.0,71.57144927978516,20.0
,,,,,0.01,47,,,,,0.001,,,
1.0,260.58209228515625,19.305999755859375,0.0,0.14117920398712158,,47,980.0,0.017327172681689262,0,0.23345375061035156,,1.0,33951.5078125,20.0
,,,,,0.01,48,,,,,0.001,,,
